prod_xprod,rotulo_cliente,rotulo_ia
CB AC PLB ST MX DR,0,8
CB AC ST MX DR,33,7
CB CAROLINA,61,8
CB EB ST OR DR,74,8
CB EB ST PL DR,61,8
CB FR KGA ST MX DR,83,8
CB FR KSS ST MX DR,84,8
CB IG SDNBRKOM ATE,73,8
CB KIT BONJOUR BITCHES TRIO,83,8
CB PES GTC BFS FMODLVA,35,8
CB PW,39,8
CB TR KSS ST OR DR,39,8
CCENOURA LINHO,16,2
CCLIP NOME BENICIO,16,2
CD,30,10
CE MM IPE IMPERIAL,7,8
CEFANOL,38,2
CELL AAA,87,15
CELOISA LARANJA,30,3
CENOURA REDONDA DECORADO PINTADO MAO,87,15
CENTRO CB,58,3
CERECELLA,87,15
CEREJA PEONIA,87,15
CEREJA REVELAR BOLSA,87,15
CERIMONIA DO CHA,87,15
CEVAFORT UN,87,15
CF PE DE MOCA UN,87,15
CF ULTRA LARANJA,87,15
CG CAZU TAZU,33,4
CG CVERD TVERD,87,15
CG OLIVA,44,8
CG SASSY ORANGE,87,15
CG VERD VERD,85,2
CH HAVAI PMGGG,38,2
CH JACARE,19,4
CHA CAMINHO,85,7
CHA COMBINADA,85,7
CHA DA PRINCESA,85,7
CHA DE SUMICO,84,2
CHA EXT,39,4
CHA HEAD,39,12
CHA MAISCLINICMAIS INFOGRAFICO APETINIBE,38,4
CHA MAISCLINICMAIS INFOGRAFICO BIOBELLA,38,8
CHAMULETO LARANJA GYPSY VIBES,38,4
CHAN DE FORA PECA,38,4
CHANCLICHE,38,4
CHANCLICHE UN UN,38,4
CHANEL LORRACI ISA ARROZ,90,7
CHAOETKER PRETO,69,7
CHARMELLE KIT BABABLU MACA VERDE,20,2
CHARMELLE KIT BABABLU MELANCIA,33,8
CHARMUTE,21,12
CHAROMA,49,9
CHATAO CORACAO,20,2
CHATAO CORACAO MM,30,7
CHEF MEDICINAL DIGESTAO,40,8
CHEF MIGNON NO ESTOJO,96,2
CHEF PETIT,96,7
CHEIA DE DEUS CORAMARELO MANTEIGA,96,2
CHEIRO DE MATO,96,2
CHEMIE BARBARA MILENA RUNNER,32,4
CHIC DIANTEIRO ZX,65,8
CHICAGO ROXO,95,2
CHIM,63,9
CHIME MANGA,95,9
CHIMP ESPRESSO,49,9
CHIMP XL ESPRESSO,73,9
CHINATOWN,21,9
CHLOE PESSEGO,49,9
CHOI,49,9
CHUCKY BERRY,82,9
CIAXA DISTRIBUCAO SEMENTE,71,8
CIFL ROMA PRETO,2,4
CIGANO CIGANA ERVAS,4,7
CILIBRIM JACARE,23,7
CILINDR,62,4
CILINMESTRE CONTROIL,64,10
CINEAMARK MEM,90,2
CINERFUNGHY BOVINOS,9,7
CIRCLE PDT,39,8
CIRCULOS RECORTE,33,8
CISPAC SACHES,33,8
CITROLIFE MANGA,33,8
CJ PETIT BRANCO,94,12
CL ALF ROMA,71,2
CL FL CAROLINA,49,12
CL FL DANI,82,2
CL FL IANA,82,4
CL JACARE,61,4
CL RECORTE PICASSO,49,12
CL TAPARED DANI,49,7
CLASSICA JACARE,62,12
CLEAN BOX III RAS LOTE VALIDADE,85,2
CLICHÊ PREMORON,61,7
CLIMABAC EXOTICO,73,7
CLONE,87,8
CLR,42,9
CLUSA SCANELADA MANGA,42,9
CM BOCAL DE SEMENTES,95,7
CM CORACAO,48,8
CM CRISTINA,84,12
CM FAVORITAS FOLHAS FLORES,42,8
CM GEORGINA,33,12
CM MAGNIFICO SP,85,2
CM MANGA BUGANTE PANDORA,87,8
CM VIGOR,85,7
CMANGA,21,4
CMMC LAURINDA PEROLA,20,8
CMMC LAURINDA PRETO,62,4
CN FAFORA TEMPERADA VITORIA,62,4
CN PETISCO,62,3
CNT TOUTH IHARA NFE DT,62,2
CO PENCA SANTA,71,2
COALITON MANGA ANGULADA,62,12
COAMO,62,4
COAMO ENTREGA,32,2
COB CAQUI,48,12
COB HT,64,3
COCO,94,3
COCO ART,69,2
COCO CHN,96,8
COCO FESTAS,19,2
COCOPURE,96,8
CODE REFATURAMENTO PECAS,63,8
COGUMELO COM SAPO,63,8
COGUMELO GAME,63,8
COJ LARANJA UNICO,63,8
COLD BLUE,63,8
COLD VENGEANCE,63,8
COLEAAO FOLHAS DO CERRADO,63,8
COLECAO COLOMBIA,63,8
COLECAO NESTLE ASSADOS GRATINADOS,63,8
COLECAO SALSA,63,8
COLEUS,63,8
COLINHAS ANGELICA CRISTINA,63,8
COLLECTION,63,8
COLORIDOS LARANJA ANIMA,95,8
COLUMEIA DRAGAO,69,8
COM MANGA GRANDE,33,8
COM MANGA LISTRADA,6,12
COM RECORTE,54,8
COM RECORTE PLUS,71,7
COMBO AVARIA SEM ID LOJA,61,8
COMBO AVARIAS DANI,30,3
COMBO FOLHAS RAMOS,52,7
COMBO GIRASSOL,6,12
COMBO GLOW FLOR DE FIGO BERGAMOTA,84,2
COMBO ITENS CAPIM LIMAO COLECAO ESSENCIAL,21,8
COMBO NACIONAL EXCETO SP,61,8
COMBO SANTA SEMENTE,84,2
COMERCIAL PANTANAL,87,2
COMITIVA PANTANEIRA GRANDE,87,2
COMODORO DE CV REG CVCV,84,2
COMP,82,8
COMP,87,2
COMP LEAO BELE DO CARIS,49,7
COMP TCM MED,69,7
COMPASSMKKEZY LAGOAS,44,7
COMPATIVEIS TX TX,61,8
COMPLEMENTO ABATE,49,8
COMPLEMENTO ABOBORA,32,3
COMPLEMENTO DE PRECO QT COMPLEMENTO VALOR,49,7
COMPLEMENTO DE PRECO REF NFE,61,7
COMPLETAO SEM OLEO,49,4
COMPLETO COM PIMENTA,48,7
COMPOS SB CHA,18,2
COMPOSICAO MOVIE JATOBA,6,10
COMPOSICAO PRINCE JATOBA,61,8
COMPOST BB,56,9
COMPOSTEC MC TETRA,33,8
COMPOSTO ACELERADO TC,6,12
COMPOSTO ALL IN ONE,6,4
COMPOSTO CH,70,12
COMPOSTO CHIMAFIT PORTAO,34,8
COMPOSTO ELIXIR DE SAO CAETANO ML,49,12
COMPOSTO EM PO NATURAL PREMIUM,65,8
COMPOSTO ERICO GEM,27,15
COMPOSTO ESSER ML,84,7
COMPOSTO EXCELLENCE,13,15
COMPOSTO GOTAS,0,15
COMPOSTO HL,87,7
COMPOSTO POR,91,8
COMPOSTO SAUDE DA PELE,84,1
COMPOSTO SUST,6,7
COMPOSTO TRADICIONAL ENVIO JA,44,8
COMPOSTO VENDING,44,8
CONCENTRAçãO QUEBRADA,39,8
CONEQUITOR BNS,96,15
CONFIMAX ALTO GRAO,25,7
CONG DA,21,7
CONG DA BRANCO,21,9
CONG DA BRANCO NR FCI,94,8
CONGELADO PARDA DUPLA XX NOVA,19,4
CONICO CM SALSA,31,10
CONJ AZUL SEED,31,3
CONJ ISLA,40,12
CONJBATENDO ASAS,34,4
CONJUNTI TOM SOBRE TOM,38,4
CONJUNTINHO MARMORIZADO,19,4
CONJUNTO DIA DE FEIRA ROSA CEREJA,9,4
CONJUNTO NS MARG DELIC CREM CS,28,4
CONSTANCIA POCKET VIR,61,3
CONSTANCIA PREMIUM,44,8
CONSTANCIA QDT,32,8
CONSUMO PLANTA INVERNO,23,15
CONTINENTAL,30,4
CONTRA,21,4
CONTRACT PCT,21,4
CONTROLA OLIOSIDADE CAPIM LIMAO,17,4
CONTROLBIO CROMOBAC PREMIUM,49,8
CONTROLBIO SPINOL PREMIUM,85,10
COORDENADO ESOS NATURAL,23,10
COORDENADO TINYS LARANJA,84,3
COR CRU BR LOTE BAG,39,2
COR CRUT BR LOTE BAG,9,12
COR DO LEITE,61,3
COR MAX BR LOTE BAG,64,3
CORACAO,84,12
CORACAO AOS MILHOES,63,8
CORACAO ARDENTE,62,4
CORAÇÃO ASAS,61,4
CORACAO AZUL PETROLEO,61,8
CORACAO BAMBINO,39,15
CORACAO BOLSO FERRUGEM,82,10
CORACAO BRANCO,40,2
CORACAO BRANCO CM,31,3
CORAçãO BRILHO,76,2
CORACAO BRINDE MAIS,23,12
CORACAO CA,62,4
CORACAO CARICIA MEDIO,61,8
CORACAO CHAMPAGNE,42,7
CORACAO CHER,69,2
CORACAO CM,61,2
CORACAO COM AMOR UNIDADES,95,2
CORACAO COM PE,44,2
CORACAO CONTEM AMOR,18,2
CORACAO CORACAO,67,2
CORACAO CORACOES PEROLAS,44,2
CORACAO COREANO MARSALA,67,2
CORACAO CPE,95,2
CORACAO DA FLORESTA NO,73,2
CORACAO DE PASTOR,73,2
CORACAO DE SOL,73,2
CORACAO DIA DOS PAIS UN,49,2
CORACAO DIVERSOS,49,2
CORACAO DOG VERDE,61,2
CORACAO EM DIA,6,2
CORACAO ENVENENADO,61,2
CORACAO ESTRA TS,17,2
CORACAO EV,95,2
CORACAO FELICIDADE,61,2
CORACAO FLORIDO NA CAIXINHA,95,2
CORACAO GOLD,71,2
CORACAO GOLD ECO,48,2
CORACAO GOURMET,48,2
CORACAO INTERMEDIARIO,70,2
CORACAO IVONE,71,2
CORACAO JUVENIL SORTIDOS,18,2
CORACAO KIT COM PCS,95,2
CORACAO LIVRE,95,2
CORACAO LOVES VERMELHO,95,2
CORACAO MAE EU TE AMO,49,2
CORACAO MAES,49,2
CORACAO MESCLADO IP,39,2
CORACAO MINI,49,4
CORACAO MINI DIVERSOS,62,2
CORACAO MINI MAE,49,2
CORACAO MINI PP ATL,49,2
CORACAO PAR JPA,71,4
CORACAO PC,62,12
CORACAO PE,31,3
CORACAO PINK,69,2
CORACAO PINK ESPECIAL,71,2
CORACAO POTE PCS,94,2
CORACAO POWER,60,2
CORACAO PP SBRACO AT,69,2
CORACAO RB CM,14,2
CORACAO ROSE,0,2
CORACAO ROXO,94,2
CORACAO RSS,59,2
CORAÇÃO SACHE,62,2
CORACAO SILVESTRE,95,2
CORACAO SUPER LOVE,49,2
CORACAO TOTAL PRETO,61,2
CORACAO TREVO NIGHTLY BLUE,95,2
CORACAO TRIO,94,2
CORACAO TWISTTER,95,2
CORACAO VIVA CADA MOME,61,4
CORACAO YOUNG HEARTS,95,2
CORACOES EM PENCA NATURAL,94,2
CORAO,95,2
CORBERINGELA ,94,2
CORBESTOPEDACO,94,2
CORCELE MANGA,94,2
CORES AMERICANO EXTRA AN II,61,7
CORES AMERICANO EXTRA AN RII,23,7
CORES AMERICANO EXTRA AR II,9,2
CORES COLORADO EXTRA AN RIII,33,8
CORES PANTANEIRO EXTRA AN II,64,8
CORIFICO KODILAR,94,2
CORMARINHO DIVERSAS DIVERSAS DIVERSAS,90,7
COROA DA SEMENTE TITANIUM,62,2
COROA DA SEMENTE UNICA,95,2
CORPO DIANTEIRO,83,2
CORPO SUP XXMM [],94,2
CORPOSINCRAZAO,71,2
CORTE,6,2
CORTE DA PECA,61,2
CORTE DE,84,2
CORTES,61,11
CORTES ESPECIFICOS,71,2
CORUDO DA FAZ JATOBA NE,70,2
CORUJA COGUMELO,39,2
COSMOS,39,2
COSMOS TEMP,39,2
COST,49,8
COST GA CASEADO MILAN,39,2
COSTA ,67,9
COSTA NUBLE,84,2
COSTA RICA,72,4
COZ LIGA AZUL SM,72,4
COZ ROSE PTO,44,2
COZINHA NATURAL PRODUCAO DE,0,2
CP,69,7
CP BR IPANEMAM,9,7
CP CPT TEMP ZAELI ALHO SA,85,4
CP FR IG MEL,5,7
CP NACIONAL,30,2
CPA SITE,94,7
CPO PP RQ LAT CREMILLE LIGHT PEDIDO,94,7
CPO PP RQ LAT CREMILLE TRADICIONAL PEDIDO,94,7
CPO PP RQ LAT TOP MILKS TRADICIONAL PEDIDO,94,7
CR,44,8
CR MS TRES LAGOAS MAES QUE ORAM PELOS FILHOS PAROQUIA SANTA RITA DE CASSIA MOD ,94,7
CR MS TRES LAGOAS PASTORAL DO DIZIMO PAROQUIA SANTA RITA DE CASSIA MOD BABYLOO,94,4
CR MS TRES LAGOAS PASTORAL DO DIZIMO PAROQUIA SANTA RITA DE CASSIA MOD INFANTI,94,7
CR MS TRES LAGOAS PASTORAL DO DIZIMO PAROQUIA SANTA RITA DE CASSIA MOD TRADICI,57,12
CRACOVIA FRATELLO,40,3
CRAVO DA VITORIA BIOCONCENTRADO SIMPLES,94,2
CRD CAIXA ENCENTAMENTO LINADIB,30,7
CRD CORT,39,9
CRD CUBO,49,10
CRD GM SEPARATA CICLO,39,4
CRD MEMENTO LINHA HAS,39,7
CRD PL SEPARATA CICLO,25,8
CRD SEPARATA,42,9
CRD SEPARATA CONCA,25,8
CRD SEPARATA NEO,64,7
CRD SUMARIO VYNAXA APRESENTACOES,9,12
CREAVITALIS LOTE DT VL,71,2
CREM,39,8
CREM LAT BS,73,7
CRESPA GIRL,39,4
CRIAMAX EXPORTACAO,39,4
CRIEI CORAGEM PISTACHE,39,4
CRIMSON,39,4
CRIMSON CARAVANEER,39,4
CRIMSON KOBOLDS,39,4
CRIMSON RED LISA,39,4
CRIOULO,39,4
CRIOULO PACOTE,39,4
CRISPY,85,4
CRISTãO YESHUA LEãO,39,4
CRISTINA,61,4
CRISTINA CRISTINA MULTICOR,61,4
CRISTO PESSEGO,61,4
CROCO ARCADIA CAFE PRECO ESPECIAL PGTO VISTA,16,2
CROCO AVEIA,64,3
CROPSTAR,21,9
CROPSTAR FS,49,8
CROPSTAR LT,49,8
CROSSTIME RECORTE FRONTAL,29,2
CROWN SENSATION,94,4
CRPD GORG,94,4
CRS DES PARC DESEN SB NORDESTE,30,4
CS MC IN GO VERD CPBRRCARI BRANCO,61,8
CS PINTADO,23,8
CS SHOULDER ML BSF,32,12
CS TUCUNARE ACU,61,7
CSDBPD MAURIZIO PESO,17,4
CSDU MAURIZIO PESO,20,7
CSDUV MAURIZIO PESO,48,4
CSDUV MAURIZIO PESO ITEM CLIENTE,41,9
CSYR LARANJA UNI CTED,38,8
CT GROENLANDIA ML LARANJA,38,4
CTA BD MINAS,38,10
CTA INT,5,4
CTZ INGREDIENTE MESANIMA,38,10
CUBINHO,38,4
CUBO EZATECT ANGUS,62,4
CUBO PESCOCO,61,4
CUBO PESSEGO,62,2
CUBOS,62,4
CUBOS CORTE,8,7
CUBOS TEMPERADOS,61,3
CUIABA CENTRO DA AMERICA DO SUL CORTEZ,61,3
CUIDADO INTEGRAL DO RECEM NASCIDO,61,15
CULINARIA AMERICANA,61,4
CULTIVAR,61,15
CURADO,62,2
CURCULIGO,68,4
CURCULIGO UNT JS,85,2
CV AMERICANBELT,85,7
CV CENTRACO,85,7
CV RD RIMAVTM ARGE CLN DTANEWPEPLPLUS LUNIKEFYX RPL,85,7
CV SOL,85,2
CV SPZ MOVENDIS,85,2
CV VEGETAL,85,2
CVWOM,44,12
CVWOM MADEPLAN DESIGN,32,8
CXA GEDI LIGHT,62,8
CXS,8,15
CY ROSA,8,15
CYTOBIOL IRIS,84,4
CZG EFBTRAZT BAN,32,8
CZVT BAN,85,8
DADALTI HORTIFRUTI,21,12
DáDIVA DA ASA,48,8
DAIANE ROSA,48,8
DAKOTA MARACUJA,48,3
DALF LT,48,3
DAMA DA NOITE LARANJA,48,7
DANGLER CCO FT LARANJA,48,8
DANIEL ALEXANDRE,48,2
DANIEL DANIEL DANIEL,48,8
DANIEL ISA,38,3
DANIEL MOURA MAYOLINO,48,8
DANIEL SILVA KIT,61,3
DANIEL VIEIRA DOS SANTOS TAILON,61,3
DANTA PRETO,38,12
DANUBIO PACOTE,12,10
DANUBIO PELE UN,49,4
DAPPING DELLA DELLE,61,4
DAS FRUTAS,42,3
DAS MINAS GERAIS,61,4
DBR CS GOPNCX CP BRRDF EC DE STA MARIA,61,4
DBR REG GOPNCX CP BRRDF CEF BRASILIA,61,4
DBR REG GOPNCX CP BRRDF CEF DE TAGUATINGA,90,7
DBR REG GOPNCX CP BRRDF CEF LIMA SANTA MARIA,61,10
DBR REG GOPNCX CP BRRDF CEF SANTA MARIA,33,2
DBR REG GOPNCX CP BRRDF CEF SANTOS DUMONT SM,62,3
DBR REG GOPNCX CP BRRDF CEI SANTA MARIA,61,8
DBR REG GOPNCX CP BRRDF EC DA VILA RCG,90,10
DBR REG GOPNCX CP BRRDF EC DE SETEMBRO,61,15
DBR REG GOPNCX CP BRRDF EC DE STA MARIA,90,10
DBR REG GOPNCX CP BRRDF EC SANTA MARIA,84,7
DBR REG GOPNCX CP BRRDF JI NORTE,87,7
DBR REG GOPNCX CP BRRDF JI SUL,61,7
DBRIZ AB,61,11
DE AGRICULTOR FARMER,61,11
DE DE,6,11
DE NOVO LANçAMENTO,44,8
DE PEDACO EM PEDACO,61,4
DE PETISCOS,6,15
DE SOBREMESA,48,12
DECO MANGA,61,4
DECUMBENS,61,4
DECV FOLHAS CORDINHAS CARMEN,61,4
DEDITOS,61,4
DEISE VERAO,61,11
DEIXE SUA SEMENTE GERMINAR,61,11
DELEGADA FEMININA CAFE,61,4
DELICADINHO LARANJA VERDE COM PEROLAS,61,4
DELíCIA SEM GLúTEN,61,4
DELLA DELLE DAPPING,61,4
DELTAPLUS ABACAXI,61,4
DELTAPLUS GOIABA,61,4
DELTAPLUS LIMAO,61,11
DELTAPLUS MANGA,61,11
DELTAPLUS MARACUJA,61,11
DELTAPLUS TANGERINA,61,11
DELUXE ML PASSA FACIL ESPECIAL,61,11
DEM MISTO TAM NORMAL,61,4
DEMA,49,2
DENTE PREMIUM,61,11
DENTE SECA,61,11
DENVER DFT,61,11
DEP SEM PIP MEC,61,11
DEPERTAMENTO PENITENCIARIO NACIONAL,30,12
DERMOSAN MD SC,39,8
DERRETIMENTO MáGICO,49,7
DESAGENDA PROCRASTíNAS SEM DATAS,49,7
DESCARB CAPS,61,8
DESCENDENTES EM MANGA,0,12
DESCON COMP,61,7
DESERT KIWI,19,8
DESI,61,12
DETOX VERMELHO EM PO,49,12
DEVOLUCAO DE PRODUTO EM COMODATO CONFORME NOTA DE,64,9
DHARKAN OL,71,8
DHO STOPPER STOPPER,33,10
DHOSTOPPER SBD,20,8
DHOWOBBLER SBD REF NFE,20,8
DIANELA ESPECIAL,20,8
DIANTEIRO,84,7
DIANTEIRO ,63,12
DIANTEIRO CCOROA,20,8
DIANTEIRO FOLHA,20,8
DIANTEIRO TRT,49,12
DIANTEIRO VIR CHANF CANOAS,62,8
DICTYONEURA GRAFIT,84,12
DIET BLACK,33,2
DIFERENCA DE PRECO DE PECA,84,10
DIFERENCA DE PRECO PECA,49,8
DIFERENCA PRECO DE PECA,30,3
DIFERENCA PRECO PECA,49,8
DIFERENCIA VALOR PECAS,38,9
DIGIAZIIA PO,49,8
DILATED EV,30,11
DINAMIC PCT,64,8
DINNO SG,38,8
DIRDHI CA TREJE,21,12
DISCAO ROXO,73,2
DISCO FEIJAO,9,15
DIVERSOS NACIONAL ALIADO COMPLETO,49,4
DIVERSOS VIEIRA,49,4
DIVICAO DE PRODUTOS COM DR FRANCISCO,49,4
DIVINA BRANCO,6,7
DIVINAMENTE DR JONATAS LEONIO,73,2
DK LAB PRETO MM,73,2
DKLAB PRO GRAY MM,0,2
DKZ DOURADO OURO COM ROSE,69,2
DM CUIDADO COM SUA LINGUA,69,2
DO PATRAO GRANDE,23,12
DO SISITEMA DO VACUO,95,15
DOENCAS DA SOJA,12,2
DOG MARRECO,87,4
DOIS IRMAOS CAT ALPHA LOOKOUT ENDURANCE,87,4
DOIS IRMAOS DO BURITI GALAO DE,38,4
DONARIO PETIT UNIDADE,90,4
DONZELAS FLOR DA PELE,48,4
DORATO IGATU MEL,84,8
DOROTI LARANJA,39,7
DORSAL,84,7
DORSO DA AGRONOVA,95,8
DORSO DA AGRONOVA FANO,22,3
DOTS FOLHAS,90,15
DOURADINHA,62,12
DOURADO JUNIOR GOLDEN JUNIOR,49,15
DOURADOTAM,40,10
DOUSE KOI SHITE SHIM,49,15
DP FRENTES,84,8
DP HIBRIDO CARREFOUR,84,8
DPAC TENTACULOS CLDVD,84,3
DR,49,2
DR ALEX,49,2
DR ALEX VOVÓ RITINHA,64,8
DR BIOMEDIC,95,2
DR CAPSULA BCABCA,5,2
DR CF,5,2
DR CHEBABO,62,7
DR CORUJA,9,12
DR DODÓI,49,2
DR FQXFR,22,2
DR FR,49,2
DR FR AGRISHOW,49,2
DR FRANKENDERP,32,12
DR OSSFORTSS,49,3
DR TALBOTS,33,4
DR TB,39,2
DR UROTESTOM,94,3
DR VBRA OPVBRA OP,19,2
DR VEGETY ML,94,3
DRCAPS NAT ,96,15
DRIVE VENEZA COSTELA,96,15
DRPS,85,3
DRYMC,34,15
DS MS TRES LAGOAS PASTORAL DO BATISMO ERICA REF 3 TRADICIONAL,84,15
DS MS TRES LAGOAS PASTORAL DO BATISMO ERICA REF 3 TRADICIONAL DISPON,84,15
DS MS TRES LAGOAS PASTORAL DO BATISMO ERICA REF 3 TRADICIONAL EXG DISP,96,15
DS MS TRES LAGOAS PASTORAL DO BATISMO ERICA REF 3 TRADICIONAL PP DISPO,84,15
DT,49,15
DUBAI OL ML,49,15
DUNI BV,17,8
DUPLA ESPECIAL MOIDO,84,15
DUPLA ESPECIAL VERMELHO EM GRAOS,49,15
DUPLAVAC CV,38,15
DUPLO,34,7
DURO,42,7
DX CS GO CAMPINAS PA BRANCO,21,15
DXCS OV OO AB VENDED ADV ESPECIAL PRETO III CN,58,15
DZ LASCAS,84,15
EAFPT ADD BREB GIR,93,2
EART ADD BREB GIR,82,2
EBEN CAFE,61,4
ÉCHO LIVRE DE 'éLèVE,61,4
ECONUDO DRINK DOURADO,61,4
ECOWAX IMBUIA ML,2,12
ECTION,82,2
ECTROL MD,33,15
EDGE,49,2
ELIAN MARIS CJ MF,84,12
ELO NACUSA,84,2
EM,9,12
EM CAMPANARIO GRAUG,84,12
EM CARNE VIVA,61,4
EM CARNE VIVA DARKSIDE,61,7
EM CARNE VIVA TODAVIA,44,3
EM PO KELLI UN,49,2
EMB IMP MIX DE INGREDIENTES SALGADOS SEARA,9,8
EMILIANO MARTINEZ ARGENTINA,84,2
EMPARELHAMENTO SEM GTIN,48,15
EMULSION MD LOTE,48,9
ENCF REF,40,12
ENCOSTO VIVA LARANJA,48,9
ENTENDA ISLA VIDA NOVA,21,8
ENTRADA BUNGE,49,2
ENTRADA DE AR,48,4
ENTRADA DE CANA,23,11
ENTRADA DE CANA DIA,39,3
ENTRADA PRINCIPAL SOBREMESA,49,2
ENTREGA AVENIDA PRESIDENTE DUTRA CENTRO CEP CASSILANDIA MS,49,2
ENTREGA COAMO,39,2
ENTREGA GUI LOPES,49,12
ENV FLEX PH ALTO LINK,94,8
ENV SACO,94,8
ENVASE LT FLOR DO PANTANAL PRETA,44,8
ENVOLTO EM VIGOR,23,7
ENXERTADAS SACO,49,12
EPIPI SEM CAIXINHA,21,4
EQ LISA CEN PREMIUM PRAT LISA,87,7
EQUILIBRA PATINHO,84,12
EQUILIBRADO MOAGEMMOIDO ,84,12
ER GREGO,84,12
ER I ENTRANTES GERAL,94,12
ERRATA MED ESP,48,2
ERVA BRAVA,87,12
ERVA CHACAL,87,12
ERVA MTE,84,12
ERVAS DIVERSAS GDE,87,12
ESDRAS KAKI,84,12
ESE SUPER MA SP,87,12
ESP,84,2
ESP BASE INDUSTRIA,33,8
ESP BICO,87,12
ESP CONTRA,84,12
ESP CONTRA MISTO,84,12
ESP CRESPA,87,12
ESP MILAGRES LF,9,12
ESPANHOL,84,3
ESPECIAL DA CHARRUA SM PO,30,12
ESPECIAL EDI COSTA MM,0,4
ESPECIAL NAMORADO,30,12
ESPECIAL PELE NATURAL EXOTIC,30,12
ESPETINHO COMPRIDO,48,12
ESPETINHO GRANDE DON,49,15
ESPETINHOBOLINHA UN,6,12
ESPIGA,48,12
ESPINHEIRA NATURAL ML LINHA PREMIUM NS,84,12
ESPíRITO SANTO MODELO SEMENTES,95,2
ESPIRITO SANTO MODELO SEMENTES DO CERRADO,9,11
ESPRESSO ALIEN,62,4
ESPRESSO GOURMET CHEF KIDS,62,4
ESPRESSO KIDS,62,4
ESPRESSO PADRAO,49,9
ESPRESSO SHOW,76,9
ESPRESSO SHOW ROSA,11,9
ESSENC CARMELITA MR,6,12
ESSENCIAL GRAPE,64,8
ESSENCIAL LARANJA,73,7
EST FIGO,68,7
EST KIWI,19,8
EST MANGA,19,8
ESTAMPAFA,90,8
ESTANGARES DE MEATAL GRANADE SEM GTIN,41,2
ESTOJO COSTELA,5,7
ESTONADA,21,3
ESTONADA LARANJA PERSONALIZADA,94,7
ESTONADO GOIABA,73,2
ESTOQUE PE FEITO,16,2
ESTRELA,19,2
ESTRELA PESCOCO ASMIC,84,8
ESTRELA RED IMPORTADA,21,12
ESTRELA SOBE,61,8
ESTRUTURA SEMENTE LH,44,12
ESTRUTURA SEMENTE RH,69,9
ESVAS FINAS,95,9
ET NAD COR VERDE BISTECA,95,9
ETHIOPIA,95,9
ETQ GJ HILTON MARFRIG,95,9
ETQ GJ MARFRIG,44,12
ETQ MERCADO INTERNO MONTANA MARFRIG,61,7
ETQIMP GJ HILTON MARFRIG,61,7
ETQIMP VIVA MARFRIG,61,8
ETQPE EXPORTACAO CHINA NATURAFRIG ROCHEDO,52,8
ETQPE INTERNA VERMELHA SULBEEF SERRILHA,52,8
EUC CLONE CLONE,90,2
EUC CLONE JUVENIL,94,8
EUF CAMPO GRANDE,61,8
EUQFIZ POSTO CASCA CEBOLINHA BRI,61,8
EUVIVOLIVE RECORTE,61,8
EV RG AD GOCV CPBRQUEIM BRANCO,52,8
EVALLOS SEM CHORO SEM PAUSA LT,33,12
EVASE MANGA,33,8
EWS,84,2
EXCEDENTES EXTRAS PED,84,12
EXCLUIR BRANCO,21,7
EXEMPLO SEM COMPARACAO MUHAMMAD MUSTAFA,48,2
EXG PROMOCAO,67,12
EXIMIO BIB,48,2
EXOTICA,9,8
EXOTICO,48,2
EXP MCM,90,2
EXPERDIAO OLIVEIRA IRINEU,48,2
EXPERIENCIAS GRAOS,48,2
EXPERT CONTROL LARANJA,48,2
EXPORT PASTEURIZADA,48,2
EXPRESS CROMUS HORA CENOURA AZULVERMELHA,48,2
EXPRESS DEC HORTA FELIZ VRM,48,2
EXPRESSO ATENTO,48,2
EXPRESSO VIBRANTE,39,15
EXT TI,39,2
EXTR BR,6,4
EXTR PLYSFE ML,6,4
EXTRA,33,12
EXTRA BIG VERDE LIMAO,39,2
EXTRA ESPECIAL,21,8
EXTRA FORTE VERMELHO,61,7
EXTRA PO,61,8
EXTRA VACUO,38,8
FACE LEAO EV,33,15
FACULDADE DE MANGA,95,7
FAIRFAX PRETO,32,7
FAITH LARANJA,62,3
FAIXA CHAMYTO ONDE TEM CRIANCA TEM CHAMYTO,61,4
FAIXA DE GONDOL AVEIA VENHA DESCO NV POSSIBIL,9,15
FAIXA DE GONDOLA NATURNES EXPERIMENTE AVEIA ORGANI,84,8
FALENALA LARANJA,49,8
FAMILY FELIZ LINHA FLORES,49,8
FANDOMBOX CEBOLINHA,49,8
FANTASY CANELA,49,8
FAR TR DALLAS PREMIUM,49,8
FARDO RINCAO UN RINCAO UN,84,3
FARINHASECA SERRADO EM VIGOTAS,49,8
FASES INTIMISTAS,49,12
FAVORITAS,84,3
FAZENDA CAPADOCIA AAA,11,7
FAZENDA LAGOINHA EM GRAO,84,2
FAZENDA SONORA PATINHO,67,7
FB TIROL,84,4
FBLZ NINHO,69,15
FD MAN PDO SIMP,49,8
FD MAN PDO SIMP XX,61,12
FD NOROESTE FJ,62,8
FD PDO SIMP XX MM,49,4
FDO ECO CONGELADO GRANDE XX CF,49,11
FDO EXP CONGELADO GRANDE XX CF,39,11
FE SS PRECO ORIGINAL ,63,8
FEIRA DA LAVANDERIA,39,12
FEIRA VERAO COLOR SAN TRIB ,95,7
FEIRAO DO HORT PCT,61,9
FEITA DE FASES,0,11
FEITO COM AMOR GOIABA,39,4
FEL SP NORME EUROPE SANS TAILLE,44,11
FEMEA COBERTURA,9,10
