prod_xprod,rotulo_cliente,rotulo_ia
BOI,2,1
CARTUCHO BACON FATIAS GOURMET FSC OC NRO ITEM,2,2
GENESEAS FILE DE TILAPIA BEM FRESCO PETPE PET NYLONPOLI IMPRESSOOP,3,3
GALAO DE LEITE,4,4
MESA LEBLON ROXO IMPORTADO,7,94
TUPPERWARE REDONDINHA TOMATE BISTRO ML,7,39
MANGA IMAGINE CRIE VERDE,8,8
GLICERINA TRANSPARENTE NOSSA TERRA,15,15
COURO SALGADO,2,41
CARCACA NOVA VE IMP,2,87
KIT QUEIJO QUATRO PCS WC,4,82
CONDIMENTOS PETISCO TEMPERO BAIANO GR,7,9
BUBALINO FEMEA,8,1
MANGA KG,8,8
CATARINA MACA KG,8,8
GRANEL FONTE MANTEIGA BRANCO,4,4
ESSENC CANELA,7,33
PALHA CRUA,12,12
HOTPANT ROSA,3,61
VAL DE FLORES,4,6
PAINEL ABOBORA GRD,7,94
COROAPINHAO RDD RPM,8,84
KIT MATE TERERE CUIA BOMBA MOLA STANLEY VERDE ORIGINAL,9,69
JALAPA RAIZ,12,12
UNHA GOLD SOLUCAO ANTIMICOTICA,12,30
OLEO DE LINHACA OU MEDIUM ACRILICO ML,15,15
BELICHE MEL ESPECIAL,4,94
VBLARANJACOMFLIPPRETO,8,8
PENDAO MILHO ROSA,10,10
ESS MORANGO,12,33
MASSA PRONTA PARA PESCA TILAPIAPIAUPACUCARPA KIT,3,21
FLOR PETA PON,10,6
BOMBAY EXTRATO NATURAL DE BAUNILHA,4,13
STANDAK TOP,4,
VT ML,4,
ETIQUETA CHEESE FIT UN,4,48
COGUMELO NOVO,7,7
EMBRUN MESES,8,61
DE MILHO KG,10,10
CJ DIST SEMENTES DENTES MILHO,12,84
REC SACHES SACHES,2,21
CARRETILHAS PARA ESFOLA DE BOVINO,2,84
MOYASHI GR,7,7
CAFE COMPLETO,9,9
MESCLA PAPADA POWER SESSOES,2,33
ASA,2,2
KIT AMORTCEDOR DIANTEIRO SK,2,87
ROT MEIO ASA FGO KG ASSADA,2,2
FORMULA NATURAL,4,21
IMPRESSO CURCUMA PREMIUM ML VERSO GHEE,4,15
INSECT HELMESTAR,7,38
COROA PINHAO REX,8,84
QUALY NUTRI FLUIMICINA LARANJA,8,30
WOBBLER COMBO CAFE ESPRESSOCOADO DONUTS CAFE,9,21
CREAN CHESE PHILADELFIA,4,4
GALAO LEITE PLAST,4,39
OE PATCHOULI LIGHT UN ML,4,33
MEL TRENZINHO MADEIRA,4,95
ACETAMIDA PURISSIMA,7,29
MARACUJA AMARELO BOX UN,8,8
ESCALDA PES NATURAL PARA BRINDES PRESENTES EVENTOS ENVIO EM HORAS AZULLAVANDACAMOMILA UNIDADES,9,33
PA KIT DIA DIA ITENS CEREJA,1,33
CARVAO CAPAO BONITO,10,27
SUPLEMENTO MINERAL BELLPESO SVSC,10,23
IPE ROXO,12,44
ESOFAGO DE BOVINOS,2,2
CATIVEIRO NUCA MAIS,3,30
DELTAPLUS TANGERINA,8,8
"",8,
LIMA FILE SERIE KIT IND,8,90
FENO GREGO EXTRATO SECO,12,13
PONTO SEMENTE PARA AURICULOTERAPIA ZHENMED ESPARADRAPO REDONDO PRETO,12,30
BOVINOS MESES,15,1
PV THUYA AVICOLA ML,4,30
KIT MOG MEL MOG MEL XX GUARN REG FECH ROSETA TAMBOR,4,44
ESS NEW CAFE EM GRAO,9,9
CAM PASSA FACIL REG MC,3,61
AMOSTRA ALIBRA LEITE EM PO PETPET METPE,4,4
PE TRES FOLHAS,7,
OLEO DE ALHO CAP MG POTE,7,30
PICKERS ANEL CEBOLA PRE FORMADO,7,16
BIKINI BRAZILIAN BACK,8,61
DELONGHI MAGNIFICA MAQUINA DE CAFE ESPRESSO ECAM,9,84
CHA KELLI CHAPEU DE COURO,9,9
LAGOSTA FECHO DOURADA,3,3
ABOBORA KRIAT HW BASTAO,7,7
ALFAZEMA EXTRA AZUL,8,33
BOVINO MACHO TS,2,2
CAM ML OUTLAST RIO,3,61
DECORACAO OVO VASO DE FLORES COM CASCA DE OVO UNICA UN,4,69
ACCUFILM FOLHAS PARKELL,7,48
CRISTAL MEDIO COGUMELO DE SHITAKE,7,7
ORIGIN CARBON,9,
BOV GUARD,2,30
BUCHO KG BRANQUEADO JBS MIUDO BOVINO KG,2,2
PINHA BRANCA,8,8
CANELA CENTIMETROS INTEIRA,9,9
REPLICA MILHO,10,39
VIDROLUX LTS GIRASSOL,12,12
ENTRADA DE CANA DIA,12,12
GARDEN CC ECC,12,12
CAMARAO NELSON NAKAMURA NAKAMARAO UNIDADES COR ANGLERBRASILCOR DOURADO,3,95
MANOELA DV DOURADO,3,71
NAGA LEITE,4,4
SELFCARE FLOR AZUL PB,4,33
GARRAFA CHUCHU,7,39
MANGA BOTO LISA SUNRISE ASUN,8,61
PINTINHO QUIQUIRIQUI,1,1
PANAQUE AMBRUSTERI,10,3
OUTROS PRODUTOS DA AGRICULTURA CANA FORRAGEIRA OUTRAS PR,12,12
INOCULADOR SEMENTE MS TURBINE GRANPED ANEX,12,38
BASSI IROOT PRO CTFA,2,85
ASSA PEIXE,3,12
ROTULOS ALHO CEBOLA BOPP METALIZADO,7,48
PANAMBY POTE COLORS FEIJAO,7,39
CAFE RIO BRILHANTE MET REVISAO,9,9
ESPETINHO CHINES CM MIL,2,44
ROTULO MOD SARDINHA ATUM,3,48
CASCA DE OVO BRANCO GR,4,4
KIT FRUTA,8,8
CAST MOLE PL AUTOBLOCK 5X60 1 LINHA,8,84
CANOINHA NAPA SINGAPURA AVEIA NAPA SINGAPURA AVEIA NAPA SINGAPURA AVEIA LIGHT PEACH OURO FORRO,11,64
INOCULANTE SOJA TURFOSO NITROBACTER TF,12,38
SEMENTE DE AÇAI PASSANTE COM VERDE FOLHA,12,12
HYDRATE,7,21
MANGA KG,8,8
CAMOMILA FLOR,12,12
FLOR DRCR,15,6
FORMULA RHODIOLA ROSEA MGCAP VEGETAL,15,21
BASSI IROOT PRO RCTFJ,2,
DESENLEIRADOR TRASEIRO CULTIVADOR,2,84
ETQ BOPP TRANSP IOG MORANGO,4,39
BATE CHANTILLY PIRACANJUBA,4,4
MANGERONA TEMP,7,12
MANGA AGULHADO ZAT,8,84
PAPEL ARROZ CARROS,10,19
HIBISCUS FLOR,12,12
ACTARA CANA SOCA LOTE,12,38
TRICORT RECORTE FINO,2,84
ALTULIPA,2,
PIMENTAO PORCELANA PARAFUSO,7,85
AVELA,8,8
PERA PEQUENA,8,8
PLATAF MILHO MAESTRA,10,84
AMOSTRA HUMIDICOLA,10,10
MASCAVO ACUCAR SAUDAVEL PRODUTO PRONTA ENTREGA ENVIO IMEDIATO ALIMENTOS GR,12,17
ET BATAVO PED MOR FLE,4,4
TABUAS QUEIJOS FRIOS PORCOES MESA POSTA CM REDONDA PC NOME DO DESENHOMARFIMCORMARFIM,4,44
PESCOÇO INFANTIL ALMOFADA NEUTRO,4,94
EXPRESSO VIBRANTE,7,
SUPLEMENTO KG SC LIMAO,8,21
CRAVO CANELA INCENSO NIRVANA,9,33
PINTINHO AMARELINHO,1,1
SPIRULINA PO MIN PROTEINA KG LOTE FABRIC VALID,12,12
CALOTRAT PLANTAR,12,30
PP HC FOLHAS FLORES REF,12,48
FORMULA INFANTIL NANLAC COMFOR ANOS DE,4,4
NANLAC COMFOR FORMULA INFANTIL LATA NA SEG,4,4
EMBALAGEM BATATA CHEDDAR UN,7,48
MANGA LONGA AZUL CEU,8,61
SALSAPARRILHA RAIZ,12,12
UNIDADES DE BOTIJA AZEITE VERMELHO,15,39
VERDE MEL PRIMER,4,32
JOGO AMERICANO IOGA VERDE,4,63
OSSO SAO BENEDITO CENOURA MINI,7,5
ESS ERVA DOCE,9,9
CHA MINI,9,48
ERVA BRAVA,9,12
LAVANYA ROSEMARY,10,12
CARCACA PRINCIPAL AR DIRETO RED,2,84
PEIXE DE APERTAR,3,95
SEMENTE PASTAGEM,12,12
OLEO VEGETAL ROMA PURO NATURAL ML,15,15
BOI LEVE,2,2
CAMISATA ROSA COM FAIXA,3,61
RABO PEIXE ESCAPE CURVO BEPO,3,87
ABOBORA DECORATIVA HALLOWEEN UNIDADE,7,95
MACADAMIA SEM SAL ESTILO,8,8
VIKING,10,
COMPOSTO TERPENICO MICOSANI,4,33
PINHA COM BASE ESMERALDA,8,68
LARANJA ORIENTAL,8,33
CURCUMA PIPERINA UNIDADE,9,9
MATUTO INSULINIUM,10,30
MILHO DE BISCUIT MINIATURA UNIDADES APLIQUE FESTA JUNINA BISCUIT,10,96
FLOR DE TRIGO,10,10
ADESIVOPARAPLACABCEBREVANTSEMENTES,12,35
LINGUA POCKET FF,2,
MONOGRAFIA PEALIV LOTE FAB VAL,2,30
SUBFIACAO CB TWISTER,2,87
FRUITT LIFE STRAW,7,39
PAU ALECRIM,7,44
BRASCORTEM EFEITO LARANJA ML,8,32
OUTROS PRODUTOS DA AGRICULTURA GRAMA VERDE COBERTURA,2,6
ASA LEVE,2,
PONTA CAUTERIO AGULHA,2,90
UVA ACRILICA LILAS,8,39
TERERE OUROPY COLOSSUS ICE BREAKERS,9,9
PC CHIPART TIO BLACK CHP,10,84
FARINHA DE SANGUE,11,23
INOC NITROSPHERA SOJA TURFA,12,38
BOX PALETA NEON PH PHALLEBEAUTY,2,33
CRIADO ROMA JACARANDA,3,94
ADESIVOS MANTEIGA,4,35
POTE LEITE EM PO LUNIS PEQUENINOS,4,39
MANGA BOTO LISA PINK RNEO,8,61
PANTANAL,11,11
DE SEMENTE VT,12,84
PIPA CAMARAO GRANDE,3,95
PAPEL MANTEIGA,4,48
SOBRE TAMP CUBO DT SC CROSCA,4,87
PETIT GTEAU,4,19
CARREGADORCEL TOM EPTA,7,85
PANTANAL PRECO ORIGINAL,7,
ETOFADO COIMBRA IMPERIAL ESTOFADOS IMPERIAL,7,94
NUFURON ALLY GR KG,7,30
EXTRATO FLUIDO QUEBRA PEDRA,12,30
REFIL TOP COLOR FAST ESPECIAL OC PRODUTO DESTINADO USO ELETRICO TRIBUTADO CFE DISPOSITIVO LEGALCONVENIO,15,85
FRALDA TOM AND JERRY HIPER PAOTAO UNIDADES,2,96
DIAFRAGMA DES,2,40
PEIXE LEAO EBOOK KINDLE,3,49
QJ TV ROLAMENTO DE ROLO CILINDRICO FAG,4,84
FMEA MÉDIO LARANJA,8,
MULTIPOLPA LARANJA,8,8
LAMINA AVEIA FIBRA GERMEN FARINHAS OC MT,11,11
MANGA LONGA BRANCA PREMIUM,8,61
OLEO DE BURITI DA EXPRESSO MATA ATLANTICA,15,15
OLEO VEGETAL,15,15
MOELA FRANGO SEARA BAND,2,2
KIT COM PCS PARA FRIOS QUEIJOS MISTO PREMIUM RED CORACAO HAMB,4,82
SORTIDO COMPOSTO POR DESIDRATADOR DO CON DD,4,84
ADAPTADOR RISUS PARA MERANO SALSA SALSA ZOOM,7,87
MANGA,8,8
ESS ALECRIM LIMAO SICILIANO GR,8,33
LINHA WR EM GRAOS FAZENDA MORADA DA PRATA ARNALDO PINTO,12,12
UNTAFORMA GL,15,15
TRAIRA CINZA,3,3
COZINHA PETIT CHEF,4,94
ABOBORA BRUXA UNICA,7,7
MANGA TRGFCI,8,8
AIN LARANJA LOTE TBG DT VAL,8,8
PINHAO DA RE ATC,8,84
SEMPRE RAIA UM NOVO DIA RAIA AMP HERMANN CLAUDIA,1,49
FORMA PARA QUEIJO MUSSARELA REQUEIJAO INJESUL,4,39
MACA DE RESGATE RETRATIL ESPECIAL INCLINADA,8,94
ESS DE LIMA LIMAO ML,8,33
MEIN KAMPF,8,49
LINGUA DE EULALIA,2,49
SACOS PARA MOCOTO LAMINADO,2,39
FR PET TULIPA,4,39
CABREUVA,8,8
JUNINA EVA PAINEL PAU DE SEBO,8,39
TOMATINHO CEREJA,8,7
SEMENTES FOLHA CREME FLORARTE VOL,12,67
CATUABA EM VIGOTA,12,44
DESMOLDANTE,15,34
FORMULA COMPLEXO SEM,4,30
NACIONAL KPZ,8,8
JAMBO SYZYGIUM MALACCENSE MERR PERRY,8,8
BOCA MILHO REX,10,84
BARRIL TOMBO DO GORDO IPA INDIAN PALE LT NAVIRAI,12,22
LING PEROLA SUINA FINA APIMEN,2,2
CN NATALINA DIGNIDADE ZERO ALCOOL,4,22
GOIABA TAILAILANDESA ESTACA,8,8
BV LARANJA LITRO NATURAL VIAG,8,8
BRONCOS CAFE,9,9
MILHO COM CORDA UNID,10,95
ALCOOL GEL GLICERINA,15,38
OLEO ESSENCIAL DE CRAVO BOTAO ANVISA ESCOLHA DO RECIPIENTE ML,15,33
SANGRIA FRIA,2,84
ASA DELTA MINI PRETO,2,95
REFIL SACHE ERVAS ZIP DIVERSAS,4,9
HAVAIANAS CHINELO SLIM SPARKLE BERINJELA BERINJELA BERINJELA,7,64
ROMA IMP,8,8
BANDEJA COM FRUTA,8,8
MESTICO PAPRICA MESTICO CHICLETE ID PRODUTO,9,17
POINSENTIA FL,10,6
COROA DA SEMENTE TITANIUM,12,90
ALMOFADA SANSAO TURMA DA MONICA,12,63
CAM IMPORTADA,3,40
UNHA POSTIA PA EMPRESS ST,12,33
SEBO BOVINO GRANEL,2,2
RETALHO MISTO KG RETALHO MISTO KG,2,0
PASTA LARGA DORSO,2,48
PAP XX MEL,4,48
ODO BREEZE SENSATION WONDER,7,33
CENOURA DECORATIVA MACO LJAVRD CENOURAS UN,7,67
MANGA,8,87
PRODUTOS NAO LISTADOS PELICULA SABUGO QUIRERA DE MILHO,11,11
SEMENTE DUPLA SFIL SOJA,12,12
AB,7,7
PIMENTA ANDINA BL UN,7,7
LEG PERFORMANCE ALECRIM,7,61
CASTANHA DE LINHA,8,8
LONGITUDINAL DE SEMENTES,12,73
UBERE,2,
BLOCO QUADRADO OU FILE SUCUPIRA PTERODON EMARGINATUS,3,44
PRODUTOS NAO LISTADOS TANQUE PARA LEITE LT OUTROS,4,73
CONJ AZUL SEED,4,0
MANGA DEMON SLAYER KIMETSU NO YAIBA,8,49
CASTANHA,8,8
PINHAO PINHAO,8,84
COMPOSTO CIRCULATORIO CHA,9,9
FOLHAS BAMBU COM VERDE,12,14
JACARE VERDE SKIN,2,2
DE BOVINOS,2,2
RASCHIAVETRO ESTERNO IN CINTU,2,87
ASA DELTA,2,88
MANGA EST,8,61
CHA DE BEBE CARRINHO AZUL,9,95
KIT MILHO VSET,10,84
KIT ITENS EROTICO VOLUMAO SEMPRE VIRGEM GEL REDUTOR CASAL,15,33
SCS PLAST NP LINGUICA DE CARNE SUINA APIMENTADA,2,2
POLIDEXTROSE ST LOTE KG VAL KG VAL,2,17
BEZERRA NELORE PO REGISTRADA MESES,4,1
RUCULA VERDE UND,7,7
CAFE COM JESUS,9,9
MUTAMBA COM CABO CRASPEDIA,12,6
GUTA PERCHA FILE,3,90
VNK NEW FAVE CORE TH PP,7,61
PROCTAN HEMORROIDAS,7,30
ESCARIF HIDROP EHP IPACOL,7,84
UNHA,12,82
EXTRATO COMPOSTO HIPERICO MULUNGU,12,13
PETISCO PARA CACHORRO MEIO DA ASA,2,2
JJ MSCHAPADAO DO SULEQUIPE DE TRABALHO PAROQUIA SAO PEDRO APOSTOLO MOD INFANTIL,4,61
PRODUTOS NAO LISTADOS MACA DE TRANSPORTE OUTROS MOBILIAR,8,94
CABECA DE MANGA CABERAF FAZZOLIN REGAIS REF CE BR UNICO,8,84
GREEN LINE CHA,9,9
NITROSPHERA SOJA TURFA COM DS,12,38
OLEO MOCOTO,15,15
ESTAÇO MULTIFUNCIONAL COM SMITH PRO,4,95
PINHAO MOTO CG DENTES MAX,8,87
PORTA ANIS ESTRELADO ESPECIARIA DRINK,9,9
FOX QAM CAMPO GRANDE,12,
CANADEACUCAR DO PLANTIO COLHEITA,12,12
WNFOLEO ESSENCIAL TOMILHO LOTEVALIDADEQTD BASE ST VALOR ST,15,33
COURO DE BACON,2,2
KRAKEN,3,0
LEG VELUDO ABOBORA,7,61
EXAMETIPOIMUNOENSAIOESPECIESEMIQUANTITATIVA DE ANTICORPOS IGMDETECCAOCITOMEGALOVIRUS,7,38
MEGACABEDALLARANJA,8,64
TERERE FLORK,9,9
SAIDA MATERNIDADE TRICOT PONTO ARROZ VERMELHO PECAS,10,61
IPE ROXO GRAVIOLA EXTRATO FLUIDO REF,12,12
KULOKO ANESTESICO ANAL SEMPRE VIRGEM APERTADINHA GEL VOLUMAO,15,30
MACHOS BOVINOS,2,2
BANDEJA DE CARNE,2,2
FEMEA COBERTURA,4,4
ETIQ BOPP MP DOCE DE LEITE FRIMESA POTE QUADRADO BEMIS,4,48
FOLHAS DE AMORA,7,12
KIT TELAS MILHETO,10,73
STOPPER ADES APROVEITE MELHOR SEMENTES PRECI,12,49
FL OLEO PH,15,15
DESMOLDANTE BD VIAPOL DESMOL,15,38
BOIBRAS ETIQ GARRAO,2,48
KIT ASA XMM,2,73
BLUE SKY INTENSE,3,
QUASSIA SEP,4,12
PINHAO NISSAN,8,87
UN CAPSULAS EXCIPIENTE,9,30
FRANGO FRANGO SOM GRANDE,2,2
IORGUT NATURAL UN,4,4
PO INTEGRAL TOP BOM,4,19
CHEIRO PARA EMBALAGEM AROMA PERFUME PARA LOJA PAPEL ARTESANATO PIMENTA ROSAML,7,33
LARANJA FLEXO CT LAMINACAO FCL,8,8
CATUABA PRETA APARELHADA ATE MTS PALETES,12,44
PRODUTOS NAO LISTADOS ESOALHADOR DE SEMENTES STARA MODELO,12,84
MOTOCOMPR AR DIRETO RED AR DIRETO RED,15,84
BOVINOS,2,1
CORACAO MINI PP BRACO CORINTHIANS,2,95
ESTEIRA COMPLETA REX,2,84
NATURAL COLORS MEL DP,4,32
INC CLOVE TRINTA ERVAS VAR LOTE BRZ,4,9
SCS PLAST NP CENOURA RALADA COOPERAI,7,7
PALHA BAT DOCE ALECRIM ROOTS,7,17
PINHAO CGFAN,8,87
ATRATIVO CAT NIP ERVA PARA GATOS NATURAL SACHES DE CAT NIP CADA,12,12
WNFOLEO ESSENCIAL MENTA PIPERITA LOTEVALIDADEQTD LEI VALOR APROXIMADO,15,33
PELE BOVINA DE PRIMEIRA CLASS ANGUS PECAS,2,2
FARINHA DE CARNE OSSO DE BOV LOTE VAL,2,23
ESPUMA,2,39
PHILLIPS TABS HORT,12,30
TRASEIRO FOLHA,2,87
PAD PARA RECORTE EM PINTURA,2,39
FRESCA DE BOVINOSCOURO,2,41
STIPRO TRTD ST,4,
CEFANOL KG,4,38
GEOMETRIC POTE ML ALHO,7,20
CHEIRO PARA EMBALAGEM AROMA PERFUME PARA LOJA PAPEL ARTESANATO MELANCIAML,7,33
FRUTAS VERDURAS,8,7
LATA GRAOS SEIJI CAS HOME STYLEVERDE,12,73
BOX HENNA DE SOBRANCELHA PECAS MAKIAJ CASTANHO CLARO,12,33
TIRA FINO TRASEIRODIANTEIRO QUADRADO,2,82
CAPA CONTFILE ASSADA KG ROT,2,2
PAPEL MANTEIGA,4,48
PA LENTILHA RI ZB,7,7
CONDIMFA CAMOMILA,9,12
FEMEA PARA ABATE,1,1
CAPIM COM SEMENTE UN,12,12
HENNA MAKIAJ MEDIO,12,12
UNOI LINGUA PORTUGUE LP,2,49
MEU POEMA ABANA RABO,2,49
SOBREMESA KGDA CASA,4,21
MISTO,4,4
PAPEL MANTEIGA PIZZA UN,4,48
FOLHA AKI PAREDE LOURO,9,44
NP PEPPER,15,9
SEBO BOVINO DERRETIDO GRANEL,2,2
CARPA COURO FAKE,3,39
"",4,73
PE PALITO MEL,4,17
AIPO SALSO REF,7,7
SANKO KAKI NO TANE ASSORT CRACKER,8,19
AGAPANTHUS BANDEJA,2,6
BUCHO RUMEM BOV CONG COMPRA,2,2
ETIQUETA FILEZINHO DE PEITO FGO OC,2,2
BAMBOO MARTAN ESSNCIA,4,33
PETIT ESTAMPA,4,48
AMOSTRA RIPPA TAMARINDO DURAMAX,8,48
CURCUMA KG,9,9
ALMOFADA POPCORN PIPOCA,10,94
INDUMAX PRESSU GORD LOCA LOTE VAL,15,15
MARIA NOVA PRIMAVERA,15,49
BOI COBERTURA,2,2
MODIFICADOR ORGANICO VALLE ML,7,33
TERERE DTR,9,9
STE ODILE INSTAGRAM HOCANM,10,
WAXY MAIZE PACOTE GROWTH SUPPLEMENTS SABORNATURAL,11,11
GLICERINA VEGETAL,15,15
ETIQ PVC IOGURTE GREGO FLOCOS ITAMBE,4,39
BUSCOVERAN COMPOSTO SOL ORAL,4,30
PILAO DE ALHO PLASTICO,7,39
UPTEC RUCULA KG,7,7
CAMOMILA KILO,9,9
SCE SNZ ROLT,10,84
INOCULANTE NITROSPHERA SOJA LIQ LT DS,12,38
CURADO,2,2
LAGARTO DECORATIVO,2,97
ORELHA SUINA EM TIRAS,2,2
BRAGURT VEGETAL SABOR IOGURTE NATURAL PO SOLUVEL PROBIOTICO,4,21
BAND OVOS BRANCA AMARELA UND REPARCK,4,48
CLICHE OVOS DE CODORNA NAJU LAMINADO PETPE,4,39
SOPEIRA BERINJELA,7,69
SONOCONVERSOR KHZ,8,85
MANGA DEMON SLAYER KIMETSU NO YAIBA,8,49
MAÇA DE GINÁSTICA RITMICA CONECTAVEL,8,95
MANGA SAKAMOTO DAYS NOVOLACRADO,8,49
FARINHA DE AMENDOA XILITOL,11,29
INOCULANTE SOJA RIZO,12,38
FORMULA INF NINHO HORA DORMIR,4,4
MANGA LONGA PRETA,8,61
MACA PARA MASSAGEM TIPO MALA ORIFICIO PRETO SALUTEM,8,94
ALIAN SUAVIDADE PASSA FACIL ML,8,34
BRACELETE SHINE SEMENTES DA VIDA CLEAR ONE SIZE,12,71
OLEO FLORATA DE GERANIO,15,15
ENGREAGEM ASA UN,2,84
HELICOIDE DE VAGEM PL,7,84
CRD MEMENTO LINHA HAS,8,
PINHAO ENTRADA ESTRIAS,8,84
OL ESS CANELA PHYTOT ML,15,15
FIO NAUTICO ALFACE KG,7,54
COCO DE CERAMICAS,8,69
PINTINHO ADOTIVO,1,1
JACK DE MEL,4,22
ABOBORA BALDE PRETO,7,39
OLEO VEGETAL DE ALECRIM PURO NATURAL CABELO PELE ML AROOM HEALTH,15,15
SMASH DE FRANGO,2,2
CAM LACO BOUQUET PRETO,3,61
THUYA AVICOLA ML,4,33
EMPORIO NAT OREGANO KG,4,9
SALVIA PV,7,7
PELES FRESCAS DE BOVINO UN,8,41
RAPOSA AS UVAS LE PRA MIM,8,49
GRANELMIX DE CASTANHA SECA KG FR,8,8
MANGA TOKYO REVENGERS NOVOLACRADO,8,49
CAFE FLOR DA SERRA MET REVISAO,9,9
CAFE NOVO MILENIO MET REVISAO,9,9
MAYBELLI BAT CLR SENCAL MATE,9,33
AGONIADA,12,12
PO CASCA DE COCO,4,14
NINHO LA FASES,4,4
BR RES FLOR,2,6
RABO PEIXE ESCAPE MMXMMBEPO,3,87
ISCA CAMARAO AMARELO HA,3,95
TMP BCOFDO PDO UND,4,48
TABOAS FUNCIONAL GR,4,46
TRUPONOL OST LIQNOCIVO,4,38
NOVAMIL AR,4,4
GIBI CEBOLINHA FABULAS,7,49
MACA GD FAMILIA,8,8
FLAT ASA DELTA TAXA FIVELA MARYS COROURO,2,64
CAM SL,3,61
DISPLAY CHAO NINHO MOLICO SOLUCAO ZERO LACTOSE,4,48
CEPA PADRAO TIPO STAPHILOCOCCUS AUREUS CARACTERISTICAS ADICIONAIS ATCC LOTE VALIDADE NEWPROV,4,30
CRAVO DERBY,9,9
RG CV VIES RIB BRANCO,10,60
IPE ROSA,12,44
DENTE PREMIUM,12,90
CODORNA,4,2
PITANGA,8,8
BOVINO PARA ABATE VOL,1,1
CHASSI DIANTEIRO CATERPILLAR,2,87
PLASMA SUINO EM PO DTFABRICACAO DTVALIDADE,2,2
SANGRIA FREIO,2,87
PAPELO LISA MANTEIGA XXMM,4,48
APTANUTRI CGRS,4,4
KIT COMPOSTO POR UM SUPORTE UM SACHE DE FRAGANCIA NATURAL,4,33
EGUA,4,1
ESPTULA PARA MANTEIGA ESPTULA DE MANTEIGA GELEIA PATE ESPTULA,4,82
SELDORA VACUO,7,
LINCHIA JASMINE,8,8
FIBRA DE TRIGO LIFE,11,11
WNFOLEO ESSENCIAL CRAVO FOLHA LOTEVALIDADEQTD BASE ST VALOR ST,15,33
POCOI REQ SEQ,4,
BOCHECHA BOVINA BRINDE,2,2
TULIPA,2,6
JOGO QUEIJO PCS MONACO VALOR APROXIMADO DOS TRIBUTOS FONTE IBPT,4,82
INT IPRO,8,85
AMORA BRANCA CHA,12,12
GLICERINA ML BI DESTILADA,15,15
OSCILLOCOCCINUM OL,15,30
QJOQUATA COALHO EM ESPETO ORIGINAL UNID LAMINADO BOPAPE SIF,4,4
PORTA REQUEIJAO FOLHA,4,39
HORT FRUT SOFT,4,7
AMEIXA REAL ML REAL UN,8,39
CHA BRANCO REFRESCANTE BZ ONU CLRISCO RISCO EMB III,9,9
BR ALINE CARRE PRETO,2,
MANGA ESPADA,8,8
ENTRADA DE CANA,12,84
LONGITUDINAL DE SEMENTES ANO CHASSI CLSV,12,84
SHOULDER BAG OMO,2,42
OVO YONI PEDRA JASPE VERMELHO IDEAL POMPOARISMO SEM FURO LEIA TODO ANUNCIO REFF,4,68
CASTANHA MACADAME,8,8
DAKOTA BOTA FEM CURTO RISTRETTO RISTRETTO RISTRETTO,9,64
AKYNZEO COMP VLR ICMS DESON VLR DO PROD SEM ICMS,12,30
KIT DESMOLDANTE SPRAY UNTA FORMA FACIL CULINARIO ML,15,38
PAD RECORTE EM PINTURA,2,39
ETIQ BOPP IOGURTE BATAVO PEDACOS DUO MAIS MARACUJA PESSEGO GR ETQ,4,39
TEMPERO ALHO SAL AMAFIL,7,21
INSULINA FOLHA,7,30
INC CLOVE CANELA VAR LOTE BRZ,9,9
OLEO ESSENCIAL MENTA PIPERITA VIA AROMA,15,33
ONEADLTMINIPEQCFRGO,2,2
HENLEY PREM BELMOND ML PRETO,3,61
PAPEL MANTEIGA,4,48
ESSENC BERG TANGERINA,8,8
MARCA PAGINAS LAPIS COM SEMENTE DE COENTRO QUEM SEMEIA AMOR LARANJA CARTOES GIGANTES,12,49
REC HOMEOPATIALMALCOOL ML,2,30
ACH TIA ASA MORC,2,2
LAMBARI ARTICULADO,3,95
REQUEIJAO PARMATO CREMOSO LAMINADO PETPE PIG,4,4
MELAG VIT FORT,4,30
CANUT PRATA,7,71
MINI CEREJA,8,8
STARBUCKS ROSA ESTONADO,9,21
ACUCAR BRUTO DE CANA VHP,12,17
OLEO ESSENCIAL GENGIBRE FLORA BRASIL ML,15,33
WOBBLER NA BRASA COXA SOBRECOXA DESOSSADA,2,2
NEEDS TIRA LEITE,4,84
ALTO GRAO COAMO BAGKG,9,9
TERERE INF METAL ARGOLINHA COLOR KOKO JR,9,73
POCAO DA VIRGEM GEL VIRGEM NOVAMENTE POCOES INTT,15,33
CORACAO YOUNG HEARTS,2,2
PORQUINHO,3,1
APARELHO PARA RESF LEITE,4,84
GARRAFA DE LEITE,4,39
OREGANO ZAELI SC,7,9
MACA DE,8,94
PINHAO KM,8,8
MIX DE CASTANHAS PETISQUEIRA,8,8
ATACAMA TAMARA,8,58
OUTROS PRODUTOS DA AGRICULTURA MAMAO OUTRAS,8,8
CRAVO PARA FERRADURA UNIDADES,9,73
MEM UM RECLUSO QUE PODE SER ALCOOLICO LOT QT,2,0
BOVINO FEMIA MESES,2,1
NANLAC COMF,4,4
FOR BABY COGUMELO,7,95
PEPINO CLASSIC CHEF AGR ST ST CXA,7,7
AV,7,84
COROA PINHAO COROA PINHAO,8,84
CAPIM LIMAO,12,12
FORMULA RHODIOLA ROSEA MGCAP VEGETAL IN,15,21
CAM PASSA FACIL AZUL MARINHO,3,61
COMPOSTO VIBRACIONAL STRESS ZERO,4,30
