prod_xprod,rotulo_cliente,rotulo_ia,capitulo_correto,explicacao
CAIXA LONGITUDINAL DE SEMENTES ANO: 2023CHASSI: CLSV111023042097,12,84.0,84,IA: Caixa é equipamento agrícola.
GRAFITE EM PO CONCENTRADO SEMENTES 5KG,12,38.0,38.0,IA: Grafite é um mineral
SEMENTE DE AÇAI PASSANTE COM 375G A313 - VERDE FOLHA,12,12.0,12,IA: Semente de açaí é fruto
CATUABA EM VIGOTA,12,44.0,12,CLIENTE: Catuaba é planta medicinal
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
INOCULANTE P/SOJA RIZO TURFA4DS200G,12,38.0,38.0,IA: Inoculante é produto químico
EUCALIPTO COM SEMENTE,12,12.0,12,IA: Eucalipto com semente se encaixa na descrição do capítulo 12
HENNA MAKIAJ MEDIO,12,12.0,12,IA: Henna é planta medicinal
ARTEMISIA KG,12,12.0,12,IA: Artemisia é planta medicinal
UXI - 26 MADEIRA SERRADA (CAIBRO),12,44.0,44,IA: Madeira serrada pertence ao capítulo 44
ATRATIVO CAT NIP ERVA PARA GATOS NATURAL SACHES DE 2G CAT NIP CADA,12,12.0,12,IA: Erva para gatos é classificada como planta medicinal
AGONIADA,12,12.0,12,IA: Agoniada é um fruto.
ALCOOL GEL C/ GLICERINA 70%,15,38.0,38.0,IA: Gel alcoólico é produto químico
GLICERINA 100ML BI DESTILADA,15,15.0,15,IA | A glicerina é um produto derivado de óleos.
"REFIL TOP COLOR FAST ESPECIAL OC: PRODUTO DESTINADO P/USO ELETRICO, TRIBUTADO CFE DISPOSITIVO LEGAL=CONVENIO 92/15",15,85.0,85,IA: Produto elétrico
"0860-WNF-OLEO ESSENCIAL CRAVO FOLHA 10ML - LOTE-VALIDADE-QTD:(00153/21-13/01/2024-2) BASE ST: R$ 72,75  VALOR ST: R$ 11,",15,33.0,33,IA: Oleo essencial é classificado como produto químico
OL ESS LIMAO SILICIANO F,15,15.0,15,IA | Produto se encaixa na descrição do capítulo 15
PSE662-DR,15,,15,IA: Produto se encaixa na descrição do capítulo 15
CAP. AMERICA - MASCULINA ADULTA - AZUL - G,15,61.0,61,IA: Produto vestuário
OLEO OZONIZADO COPAIBA 50ML,15,15.0,15,IA | Óleo ozonizado é derivado de óleo vegetal
FLOR DR/CR,15,6.0,6.0,IA: Flor seca é classificada como produto vegetal.
GLICERINA BRANCA 1LT (M) 1X12,15,15.0,15,IA: Glicerina é derivada de óleos/gorduras
OLEO FLORATA DE GERANIO,15,15.0,15,IA: Óleo vegetal
BLEND CLEANER WAX 500 ML,15,34.0,34.0,IA: Produto de limpeza com cera
OLEO DE MOCOTO,15,15.0,15,IA: Oleo de mocotó é um óleo animal.
SERV. OLEO,15,15.0,15,IA: SERV. OLEO se encaixa na descrição do capítulo 15
OLEO FLORATA DE BERGAMOTA,15,15.0,15,IA: Óleo essencial extraído de planta
OLEO DE LINHACA OU MEDIUM ACRILICO (100ML),15,15.0,15,IA | Óleo de linhaça se encaixa na descrição do capítulo 15
SAL DE PARRILLA CANTA GALLO 250G PIMENTA NETAO CANTA GALLO UN,15,25.0,21,IA | Sal é classificado no capítulo 21
ITEM 546200 - POTENCIOMENTRO LIN 4K7 (5K),15,85.0,85,IA: Potenciómetro é dispositivo eletrônico.
"0990-WNF-OLEO ESSENCIAL TOMILHO 10ML - LOTE-VALIDADE-QTD:(05070/21-25/10/2024-3) BASE ST: R$ 115,15  VALOR ST: R$ 18,41",15,33.0,33,IA: Oleo essencial é produto químico
OLEO ESSENCIAL DE MENTA PIPERITA PURO VIA AROMA 10 ML,15,33.0,33.0,IA: Óleo essencial é produto químico
FL OLEO PH-2966,15,15.0,15,IA | Produto se encaixa na descrição do capítulo 15
001930 - PEPPER BALL PLUS PIKASSO COM 2 UN PEPPER BLEND,15,93.0,93.0,IA: Produto é um acessório esportivo.
UNTA-FORMA GL (4X5KG),15,15.0,15,IA: Unta-forma é gordura alimentícia elaborada
OLEO FLORATA DE BERGAMOTA,15,15.0,15,IA: Óleo essencial extraído de planta
OLEO ESSENCIAL DE CRAVO BOTAO - ANVISA - ESCOLHA O TAMANHO DO RECIPIENTE: : 5 ML,15,33.0,33.0,IA: Óleo essencial é produto químico
INDUMAX PRESSU GORD LOCA C/2UN - LOTE: 3613 - VAL.: 30/04/2023,15,15.0,15,IA: Produto se encaixa na descrição do capítulo 15
BUSCOVERAN COMPOSTO SOL OR X 10ML,15,30.0,30,IA: Produto farmacêutico
DESMOLDANTE,15,34.0,34.0,IA: Desmoldante é substância química
HERBAL PRIME 500 ML,15,30.0,30,IA: Produto likely um suplemento alimentar
"MAXICAM COMP BLYSTER 10 X 2,0 MG",15,30.0,30,IA: Medicamento em forma de comprimido
OSCILLOCOCCINUM CX 6FLAC - OL,15,30.0,30,IA: Produto farmaceutico
MPP DESMOLDANTE KG,15,34.0,34,IA: Produto químico para desmoldagem
OLEO ESSENCIAL MENTA PIPERITA 10ML VIA AROMA,15,33.0,33.0,IA: Óleo essencial é produto químico
PT BECEL ORIG CS 500G 766839_V,15,15.0,15,IA: Produto é gordura alimentar elaborada
BOVINOS 13 A 24 MESES,15,1.0,01,IA: BOVINOS são classificados como carne.
"ESGRILAX 2,27G C/ 6 SUPOSITORIOS ADULTO (GLICERINA) (-) MALAVASI",15,30.0,30,IA: Produto medicamentoso com base glicerina
OLEO DE MOCOTO,15,15.0,15,IA: Óleo de mocotó é derivado de gordura animal
FORMULA C/RHODIOLA ROSEA 500MG;CAP VEGETAL 00 V 30UN;,15,21.0,21.0,IA: Produto fitoterápico
POCAO DA VIRGEM GEL VIRGEM NOVAMENTE 15G POCOES INTT,15,33.0,33.0,IA: Produto cosmético
GLICERINA 100ML BI DESTILADA,15,15.0,15,IA | A glicerina é um produto derivado de óleos.
PAZZE MOEDOR SAL ROSA COM CHIMICHURRI 80GR,15,21.0,21.0,"IA: Produto condimentado, similar a tempero"
DR,15,,15,IA: DR é um produto do capítulo 15
OLEO VEGETAL DE ABACATE JARDIM EXOTICO - PRENSADO FRIO - EXTRA VIRGEM 10 ML,15,15.0,15,IA | CLIENTE: Óleo vegetal
GLICERINA 1 LITRO RIOQUIMICA UND,15,15.0,15,IA | A glicerina é derivada de óleos/gorduras.
"0960-WNF-OLEO ESSENCIAL MENTA PIPERITA 10ML - LOTE-VALIDADE-QTD:(02676/20-09/07/2023-3), LEI 12741/12 VALOR APROXIMADO D",15,33.0,33,IA: Oleo essencial é classificado como produto químico
DESMOLDANTE BD 18LTS VIAPOL (DESMOL),15,38.0,38.0,IA: Desmoldante é produto químico
OL ESS CANELA PHYTOT 10 ML,15,15.0,15,IA: Óleo essencial se enquadra em 15
OLEO ESSENCIAL DE CRAVO FOLHAS HERBIA 10ML - LOTE 20 VAL. 09/2023,15,33.0,33.0,IA: Óleo essencial é derivado de plantas.
"MAXICAM COMP. 10 X 2,0 MG",15,30.0,30,IA: Medicamento veterinário
OLEO VEGETAL DE ALECRIM 100% PURO NATURAL CABELO E PELE - 100 ML AROOM HEALTH,15,15.0,15,IA | O produto é óleo vegetal.
MARIA - A NOVA PRIMAVERA,15,49.0,49.0,IA: Produto se encaixa na descrição do capítulo 49
KIT 45 ITENS EROTICO VOLUMAO SEMPRE VIRGEM GEL REDUTOR CASAL,15,33.0,9602,IA | KIT EROTICO: Produtos para adultos
OLEO DE NEEM CONCENTRADO NATURAL MARCA VITAPLAN 100 ML,15,15.0,15,IA: Óleo vegetal concentrado
PET CIRURGIC  FEMEAS N 10,15,62.0,62.0,IA: Produto médico cirúrgico
KULOKO ANESTESICO ANAL + SEMPRE VIRGEM APERTADINHA + GEL VOLUMAO,15,30.0,30,IA: Produto cosmético
OLEO DE MOCOTO 1L,15,15.0,15,IA: Óleo de mocotó é um óleo animal.
CURCULIGO UNT JS,15,30.0,30,IA: Produto químico para uso em jardinagem
OLEO DE MOCOTO LITRO,15,15.0,15,IA: Óleo de mocotó se enquadra na descrição do capítulo 15
GLICERINA VEGETAL 50ML - L017,15,15.0,15,IA: Glicerina vegetal encaixa no capítulo 15
GLICERINA TRANSPARENTE 1KG - NOSSA TERRA,15,15.0,15,IA | A glicerina é derivada de óleos/gorduras.
GORDURA BOVINA NC,15,15.0,15,IA: A descrição se encaixa na definição do capítulo 15.
"EQUIPAMENTO PARA A DETERMINACAO IN-LINE DE GORDURA , PESO E DETECCAO DE OSSOS E METAIS EM CARNES CRUAS FRESCAS E CONGELA",15,84.0,84,IA: Equipamento para análise de carne
OLEO ESSENCIAL GENGIBRE - FLORA BRASIL - 05 ML,15,33.0,33.0,IA: Óleo essencial é produto químico
OLEO DE MOCOTO,15,15.0,15,IA: Óleo de mocotó é derivado de gordura animal
SAL BEIJA FLOR FINO ESPECIAL TEMPERADO 500G,15,25.0,21,IA | Sal temperado é classificado como alimento preparado.
CB AC 17910 KRE 9000 - ST MX DR 00 - 1,15,15.0,15,IA | Produto compatível com descrição do capítulo 15
BANHA MARIA 3/1 20,15,15.0,15,IA: Equipamento culinário
CONE HINDU TRADICIONAL 80 UNIDADES,15,33.0,17,IA | Cone hindu é classificado como produto de confeitaria
COZEDOR DE OVOS PARA MICROONDAS,15,39.0,73,IA | Produto de metal para utensílio doméstico
OLEO MOCOTO,15,15.0,15,IA: OLEO MOCOTO se enquadra na descrição do capítulo 15
KIT 3 DESMOLDANTE SPRAY UNTA FORMA FACIL CULINARIO 400ML,15,38.0,34,IA | Desmoldante culinário é produto químico
FORMULA C/RHODIOLA ROSEA 300MG;CAP VEGETAL 1 IN 60UN;,15,21.0,21.0,IA: Produto fitoterápico
GLICERINA LIQUIDA 90 ML,15,15.0,15,IA: Glicerina líquida se encaixa na descrição do capítulo 15
MOTOCOMPR AR DIRETO RED C/M 1/3HP AR DIRETO RED,15,84.0,84,IA: Produto eletromecânico
OLEO FLORATA DE GERANIO,15,33.0,33.0,IA: Óleo essencial extraído de planta
"0990-WNF-OLEO ESSENCIAL TOMILHO 10ML - LOTE-VALIDADE-QTD:(02018/21-03/05/2024-3) BASE ST: R$ 158,73  VALOR ST: R$ 25,38",15,33.0,33,IA: Oleo essencial é classificado como produto químico
BANDEJA DR,15,44.0,44,"IA: Bandeja é item de mesa, não alimento"
DEUROLEASE PHO 220705 RELEASE AGENT (DESMOLDANTE),15,34.0,34.0,IA: Desmoldante indica produto químico
BASE GLICERINA NOSSA TERRA BRANCA - KG,15,34.0,34.0,IA: Base de glicerina é produto químico
OLEO DE MOCOTO,15,15.0,15,IA: Óleo de mocotó é derivado de gordura animal
D LIMONENO PURO - OLEO DA CASCA DE CITRICOS,15,33.0,33.0,IA: Óleo essencial extraído de fruta
"GORDURA DE DESOSSA - 150,00",15,15.0,15,IA: Produto se encaixa na descrição do capítulo 15
OLEO DE BURITI DA EXPRESSO MATA ATLANTICA,15,15.0,15,IA: Óleo vegetal extraído
NP PEPPER,15,9.0,9.0,"IA:  Produto condimentado, provavelmente mistura."
GLICERINA LIQUIDA 120G,15,15.0,15,IA: Glicerina líquida é derivada de óleos/gorduras.
FORMULA C/OLEO DE COCO OZO 5%;OVULO 1OVL;,15,30.0,30,IA: Formula cosmética com óleo
OLEO ESSENCIAL 10ML MENTA PIPERITA VIA AROMA,15,33.0,33.0,IA: Óleo essencial é produto químico
50 UNIDADES DE BOTIJA AZEITE VERMELHO,15,39.0,15,CLIENTE: Azeite é um óleo vegetal
OLEO VEGETAL ROMA100%  PURO NATURAL - 50 ML,15,15.0,15,IA: Óleo vegetal puro se encaixa na descrição do capítulo 15
OLEO VEGETAL,15,15.0,15,IA: O produto se encaixa na descrição do capítulo 15.
OLEO ESSENCIAL ALIMENTICIO NATURAL TANGERINA 10ML GRANCHEF,15,33.0,33.0,IA: Óleo essencial é classificado como produto aromático
CORACAO G - YOUNG HEARTS,2,2.0,2,IA: Produto derivado de carne.
21 - HERDADE DOS GROUS,2,,02,IA: Herdade de aves é carne
MESCLA PAPADA POWER I -5 SESSOES - 1523,2,33.0,33.0,IA: Produto cosmético
QUILO VERAO 1 ESPECIAL LOTE - SS-UN,2,2.0,02,IA: Produto de carne
BOCHECHA BOVINA BRINDE,2,2.0,02,IA: Bochecha bovina é carne comestível.
KIT AMORTCEDOR TRASEIRO,2,87.0,87.0,IA: KIT AMORTECEDOR é parte de veículo
6K0925 - CHASSI DIANTEIRO - CATERPILLAR 966C,2,87.0,87.0,IA: Peça de máquina
ABOMASO BOVINO COALHO - 243.0000,2,2.0,02,IA: Abomaso bovino é carne.
"BOI S/COBERTURA - 3,248.500",2,2.0,02,IA: Produto é carne bovina.
ESOFAGO DE BOVINOS SC - 33.0000,2,2.0,02,IA: ESOFAGO É CARNE COMESTÍVEL
ONTERRUPTOR TRASEIRO,2,85.0,85,IA: Interruptor é parte elétrica.
MPD01003 - PELE BOVINA DE PRIMEIRA CLASS. (272 PECAS),2,2.0,01,CLIENTE: Pele bovina é classificada como produto de couro.
PãO DE FORMA FATIADO,2,19.0,19.0,IA: Pão é classificado em produtos de padaria.
TIRA FINO TRASEIRO/DIANTEIRO QUADRADO,2,82.0,87,IA: Peça de veículo
CHAPEU FPU 50+ JACARE P,2,65.0,65,IA: Chapéu é artigo de vestuário.
"BARRIGADA BOVINA - 120,0000",2,2.0,02,IA: Barrigada bovina é carne.
FRIZO TRAZEIRO,2,87.0,87.0,IA:  Parte de veículo
REC 11601727-0 HOMEOPATIA-LM-ALCOOL 30% 10 ML,2,30.0,30,IA: Produto homeopático classificado como medicamento
PAINEIRA,2,14.0,14.0,IA: Paineira é um produto vegetal.
REC 128636-0 SACHES 30 SACHES,2,21.0,21.0,IA: Produto alimentício
BASSI IROOT PRO -  - CTFA10148,2,85.0,85,IA: Produto eletrônico
A LINGUA POCKET FF,2,,95,CLIENTE | Brinquedo
ENGR. DO GOVERN. CPL 16400-Z030110-0000,2,84.0,84.0,IA: Produto parece ser equipamento de engenharia.
COURO SALGADO - 975.0000,2,41.0,41.0,IA: Couro salgado é produto da indústria de curtimento.
BOVINO,2,2.0,02,IA: BOVINO é carne comestível.
SANGRIA FRIA 5/16  D10/20/40,2,84.0,2,CLIENTE: Produto alimentício
CURADO 500 G,2,2.0,02,IA: Produto de carne.
TRASEIRO - F-2000 - 2A FOLHA,2,87.0,87.0,IA: Produto parece ser peça de veículo
PAD PARA RECORTE EM PINTURA,2,39.0,39.0,IA: Pad para pintura é artigo de plástico/borracha
365538-40 - WOBBLER NA BRASA E COXA SOBRECOXA DESOSSADA,2,2.0,02,IA: Produto de carne desossada.
AMOTECEDOR TRASEIRO 379019SP C4 LOUNGE,2,87.0,87,IA: Peça de veículo
MEMBRANA OSMOSE RESERVA 100 GPD DIAGFARMA,2,84.0,84.0,IA: Membrana de osmose reversa é equipamento
CORACAO C/ 3,2,2.0,2,IA: Produto se encaixa na descrição de carnes.
FRALDAS FLOR DE LAVANDA - 100% ORGANICO TAMANHO:FRALDINHA,2,96.0,96,IA: Fraldas são artigos de higiene pessoal.
MIUDO BUCHO,2,2.0,02,IA: Miudo bucho é carne comestível.
BARRIGADA BOVINA - 154.0000,2,2.0,02,IA: Barrigada bovina é carne.
ESPETO BOVINO,2,2.0,02,IA: Espetinho de carne bovina é carne comestível.
"110 - PELE DE BOVINO, FRESCA, INTEIRA SEM",2,2.0,02,IA: Pele de bovino é carne.
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
BASSI IROOT PRO - 2018623060 - RCTFJ10134,2,,85,IA | Produto eletrônico
UBERE - 54.0000,2,,02,CLIENTE: Produto é carne.
JACARE 2OLT LOTE:043/19 FAB:04/19 VAL:04/21,2,,02,CLIENTE: Produto é carne.
TULIPA PT 13,2,70.0,06,IA | TULIPA PT indica planta
PONTA CAT 416 H.P.A.D,2,84.0,84.0,IA: Ponta de ferramenta para corte.
MPD01003 - PELE BOVINA DE PRIMEIRA CLASS. (331 PECAS),2,2.0,02,CLIENTE: Pele bovina é classificada como carne.
TGG511241 LAMINA N.A1 TRASEIRO,2,82.0,82.0,IA: Laminas de metal são classificadas em capítulo 82
SALOMPAS DOR TENDAO DE AQUILES INFLAMACAO DOR MUSCULAR 36UNI,2,30.0,30,IA: Produto medicamentoso
PELE FRESCA DE BOVINO - 96.0000,2,2.0,02,IA: Pele fresca de bovino é carne.
BARRIGADA DE BOVINOS - KG - 427.0000,2,2.0,02,IA: Barrigada é carne bovina.
FIESTA SE HA,2,87.0,87,<IA>: Veículo
MESA RIPA 180X90,2,94.0,94,IA: Móvel para uso doméstico
AGAPANTHUS - BANDEJA C/ 15,2,6.0,06,IA: Agapanthus é planta
AVE-LIRA,2,92.0,01,<IA>: Ave-lira é um animal vivo.
BUCHO BOVINO KG,2,2.0,02,IA: Bucho bovino é carne comestível.
MPD01003 - PELE BOVINA DE PRIMEIRA CLASS ANGUS (199 PECAS),2,2.0,02,IA: Pele bovina é carne.
CORACAO FILHOTE,2,2.0,02,IA: Produto derivado de animal
"165 - PELE DE BOVINO, FRESCA, INTEIRA SEM",2,41.0,02,CLIENTE: Pele de bovino é carne.
SHOULDER BAG OMO,2,42.0,42,IA: Produto de couro/tecido
ASA.CXXX1XA1XX,2,2.0,2,IA: ASA.CXXX1XA1XX indica carne.
BUCHO RUMEM BOV CONG COMPRA,2,2.0,02,IA: Bucho é carne bovina comestível.
00290 - PESO DIANTEIRO,2,87.0,87.0,IA: Peso dianteiro é parte de veículo.
BOX 16 PALETA NEON 16G PH0330 PHALLEBEAUTY,2,33.0,33,IA: Produto de beleza
DG80469- TULIPA,2,6.0,06,IA | TULIPA indica planta
HEMOGLOBINA SUINOS EM PO       N203943 DT.FABRICACAO :24/09/2020 DT.VALIDADE : 24/09/2022,2,2.0,02,IA: Hemoglobina de origem animal
AMOETECEDOR TRASEIRO,2,87.0,87.0,IA:  Produto de transporte
OUTROS PRODUTOS DA AGRICULTURA - GRAMA VERDE COBERTURA 20KG,2,6.0,06,IA: Produto agrícola
PELE BOVINA DE PRIMEIRA CLASS ANGUS (133 PECAS),2,2.0,02,IA: Pele bovina é carne
PELE BOVINA DE PRIMEIRA CLASS ANGUS (224 PECAS),2,2.0,02,IA: Pele bovina é classificada como carne.
MEM. A UM RECLUSO QUE PODE SER ALCOOLICO LOT.:0 QT:3,2,0.0,2,CLIENTE: Memória de alcoólico
COURO DE BACON,2,2.0,02,IA: Couro é subproduto da carne
FARINHA DE CARNE E OSSO DE BOV- LOTE 000436687 - VAL. 05/03/2025,2,23.0,2,IA | Farinha de carne é derivado da carne.
A LINGUA DE EULALIA,2,49.0,02,CLIENTE: A LINGUA DE EULALIA é carne comestível.
"BOI S/COBERTURA - 1,246.000",2,2.0,02,IA: Produto é carne bovina.
MIUDOS CONGELADOS DE BOVINO - RUMEN - 565.0000,2,2.0,02,IA: Miúdos congelados são carnes comestíveis.
TRAQUEIA DE BOVINOS - 129.0000,2,2.0,02,IA: Traqueia é parte de carne bovina
HEMOGLOBINA SUINOS EM PO       N203643 DT.FABRICACAO :03/09/2020 DT.VALIDADE : 02/09/2022,2,2.0,02,IA: Hemoglobina de origem animal
CARRETILHAS PARA ESFOLA DE BOVINO,2,84.0,84.0,IA: Ferramenta para processamento de carne
CASADA TRAICOES SEM VOLTA: SEXO ROMANCE TRAICAO AVENTURA (EBOOK KINDLE),2,49.0,49,IA: Ebook é produto cultural.
ET 85X130MM MIUDO CONGELADO DE BOVINO NUTRI CARNES,2,2.0,02,IA: Produto de carne bovina congelada.
BOI,2,1.0,02,IA: Boi é carne comestível.
GLOTE DE BOVINOS - 81.0000,2,2.0,02,IA: Glóte é carne bovina comestível.
AGULHA ROMBA,2,90.0,90,IA: Ferramenta de costura
13427 TRICORT RECORTE FINO,2,84.0,84.0,IA: Tricort é ferramenta de corte.
KIT AMORTCEDOR DIANTEIRO SK928,2,87.0,87.0,IA: KIT AMORTECEDOR é peça automotiva
OSSO NO ENCARTELADO 4/5 BACON,2,2.0,02,IA: Produto derivado da carne.
MESA RIPA AURORA,2,94.0,94.0,IA: Mesa é móvel
BACO,2,2.0,2,IA: BACON é carne
MONOGRAFIA PEALIV LOTE: FAB:00/00/0000 VAL:00/00/0000,2,30.0,49,CLIENTE: Monografia é produto editorial
SACOS PARA MOCOTO B 60 X 90 LAMINADO,2,39.0,39.0,IA: Sacos são artigos de plástico.
TRASEIRO - F-1000 - 4 FOLHA L,2,87.0,87.0,IA: Produto é um componente de veículo.
AGULHA 1001-D,2,82.0,82.0,IA: Agulhas são ferramentas de metal.
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
SEBO BOVINO DERRETIDO A GRANEL,2,2.0,02,IA: Sebo bovino é carne derivada.
HEMOGLOBINA SUINOS EM PO       N204252 DT.FABRICACAO :16/10/2020 DT.VALIDADE : 14/10/2022,2,2.0,02,IA: Hemoglobina de origem animal
(ACOUGUE) SAL,2,25.0,21,CLIENTE: Sal é derivado de carne
ANGUS 100,2,2.0,02,IA: Produto de carne bovina.
BOI S/COBERTURA - 589.500,2,2.0,02,IA: Produto é carne bovina.
SANGRIA,2,22.0,22,CLIENTE: Sangria é bebida alcoólica.
JACARE VERDE SKIN CX C/60,2,2.0,2,IA: Pele de jacaré é carne
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
MOELA FRANGO SEARA BDJ 1KG,2,2.0,02,IA: Produto de carne avícola.
1SEBO DE BOVINOS,2,2.0,02,IA: Sebos são classificados como miudezas.
"BUCHO - 57,00",2,2.0,2,IA: Bucho é carne comestível.
BOI,2,1.0,02,IA: Boi é carne comestível.
MORCEGO DIANTEIRO,2,95.0,95,IA: Brinquedo esportivo
PETISCO NATURAL - PE DE FRANGO - NATURAL FARM,2,2.0,02,IA: Pe de frango é carne
TRASEIRO - F-1000 (F-250) DIESEL - 3A FOLHA,2,87.0,87.0,IA: Parte de veículo
BARRIGADA BOVINA - 212.0000,2,2.0,02,IA: Barrigada bovina é carne.
RACK | HORTIFRUTI,2,94.0,94.0,IA: Estrutura metálica para cultivo
BOVINOS,2,1.0,02,IA: BOVINOS são carnes comestíveis.
CHAVEIRO DE PICANHA,2,71.0,71.0,IA: Chaveiro é artigo de metal.
"139 - PELE DE BOVINO, FRESCA, INTEIRA SEM",2,41.0,02,CLIENTE: Pele de bovino é carne.
TRASEIRO - DAILY CITY 30513 - VIR. C/ FURO P/,2,87.0,87.0,IA: Produto se encaixa na descrição de veículos.
BOVINO FEMIA 0 A 12 MESES,2,1.0,02,IA: Produto classificado como carne.
A400800101027-ASA LEVE L/E,2,,nan,CLIENTE | Descrição insuficiente
LAGARTO DECORATIVO,2,97.0,97,IA: Objeto decorativo
TULIPA,2,6.0,06,"IA: Tulipa é flor, classificada em capítulo 6."
ETIQUETA 70X150MM AA01 - COXA SOBREC S/O C/P FGO (OC:104488743),2,48.0,48,IA: Etiqueta é produto de papelaria.
KIT 2 OSSOS  FRANGO P 2 OSSO  FRANGO 16CM,2,95.0,02,CLIENTE: Produto é carne
FRANGO FRANGO SOM GRANDE,2,2.0,02,IA: Produto de carne comestível.
PAINEIRA,2,14.0,14.0,IA: Paineira é um produto vegetal.
ORELHA SUINA EM TIRAS,2,2.0,02,IA: Produto derivado de carne suína.
"BUCHO - 222,00",2,2.0,2,CLIENTE: Produto alimentício.
ESOFAGO DE BOVINOS SC - 53.0000,2,2.0,02,IA: ESOFAGO É CARNE COMESTÍVEL
PALETA SLA PARIS HOW TO2 51 12X1G,2,33.0,33.0,IA: Paleta é produto cosmético.
CORACAO MINI PP C/BRACO K1833 CORINTHIANS,2,95.0,95,IA: Produto decorativo
ESPETINHO CHINES 25 CM PCT 1000 MIL,2,44.0,44.0,IA: Espetinho é utensílio de cozinha.
EQUILIBRA PATINHO,2,2.0,2,IA: Produto derivado da carne.
QUARTA ASA,2,2.0,2,IA: Parte do animal
BOVINO MACHO TS-00804-524/20,2,2.0,02,IA: Produto é carne bovina.
CORTES FGO MOELA PERDIGAO 1KG * PERDIGAO UN,2,2.0,02,IA: Cortes de carne são classificados no capítulo 2.
DISPERDEICIO DE APARAS MOIDA,2,47.0,2,CLIENTE: Produto derivado de carne.
RODENSTOCK R4792-A-4422-145-0000,2,90.0,90.0,IA: Produto ótico
BARRIGADA BOVINA - 207.0000,2,2.0,02,IA: Barrigada bovina é carne.
ETIQUETA 70X180MM AA01 - FILEZINHO DE PEITO FGO (OC:106292017),2,2.0,2,IA: Produto derivado da carne.
BARRIGADA BOVINA - 300.0000,2,2.0,02,IA: Barrigada bovina é carne.
BARRIGADA BOVINA - 156.0000,2,2.0,02,IA: Barrigada bovina é carne.
CORACAO 18POLEGADAS PCT.C/5,2,39.0,39,IA | CORAÇÃO DE PLASTICO
FRALDA TOM AND JERRY HIPER PAOTAO P - 90 UNIDADES,2,96.0,96,IA: Produto de higiene infantil.
PELE BOVINA DE PRIMEIRA CLASS ANGUS (61 PECAS),2,2.0,02,IA: Pele bovina é classificada como carne.
CAPA CONT.FILE ASSADA KG ROT,2,2.0,2,IA: Produto derivado da carne.
ESTEIRA COMPLETA - REX,2,84.0,84,IA: Esteira é equipamento de ginástica.
ORELHA - 16.0000,2,2.0,91,IA: Orelha é parte de animal
SMASH DE FRANGO,2,2.0,02,IA: Smash de frango é carne
(9788521318316)CARNE MOIDA - RECEITAS PRATICAS E DELICIOSAS PARA SALVAR O S,2,49.0,49,IA: Livro de receitas
PRE CEDRO JACARE DE 16 ANOS,2,44.0,44,IA: Madeira de cedro é classificada no capítulo 44
ASA DELTA  ROSA PINK P,2,88.0,88,IA | ASA DELTA é um produto aeronáutico
DESENLEIRADOR TRASEIRO P/ CULTIVADOR 280419781745,2,84.0,84,IA: Desenleirador é máquina agrícola.
PLASMA SUINO EM PO  78         N201141 DT.FABRICACAO :12/03/2020 DT.VALIDADE : 04/03/2022,2,2.0,02,IA: Plasma suino é carne processada
BR ALINE CARRE PRETO R.N.,2,,42,CLIENTE: Produto de couro
"AORTA - 23,0000",2,2.0,2,CLIENTE: Produto de origem animal
TAMPA CAIXA 12KG CARNE MOIDA TERMOFORMADA 1KG - ALLEZA,2,39.0,2,CLIENTE: Produto é carne moída.
ET AD BOPP 79X120 CARREFOUR SELECTION RESF MAMINHA,2,2.0,2,IA: Produto é carne (maminha)
ENGREAGEM ASA 80 Z-13 330140009 0 UN,2,84.0,84,IA: Engrenagem é parte de máquina.
PALETA SOUZA MEDIA 30X20 4005 +,2,44.0,44,IA: Paleta é utensílio de cozinha.
PROTETOR FRALDA FEMEA N 7,2,96.0,96,IA: Produto de higiene pessoal
PONTA PC 200 H.P.A.D,2,84.0,84.0,IA: Ponta PC é ferramenta.
SUBFIACAO CB TWISTER 19-21,2,87.0,87.0,IA: Subfiação indica ferramenta agrícola
UNOI LINGUA PORTUGUE UNI1 7EF2 B4 LP,2,49.0,49,IA: Produto de papelaria/escritório
ASA DELTA MINI PRETO - M,2,95.0,95.0,IA: Produto de lazer
ARGOLA PALETA,2,73.0,73.0,IA: Argola é peça de metal.
PETISCO PARA CACHORRO - MEIO DA ASA,2,2.0,2,IA: Petisco é derivado de carne.
POEMINHA EM LINGUA DE BRINCAR,2,49.0,95.0,IA | Brinquedo em forma de animal
"RESER 000421 DEFLETO  R AR, OV: 3527699",2,87.0,87,IA: Defletor de ar sugere veículo
"BUCHO - 167,00",2,2.0,2,IA: Bucho é carne comestível.
CORAC DE ALCACHOFRAS 510GR DI SALE,2,7.0,7.0,"IA: Produto processado, conserva"
BOV GUARD 1LT,2,30.0,30,IA: Produto químico para animais
RETALHO,2,0.0,01,CLIENTE: Retalho pode ser de animais
"BOI LEVE - 1,612.000",2,2.0,02,IA: Produto é carne bovina.
"OURO BRANCO 1KG (L)  - DESCONTO = 22,92%",2,18.0,71,IA: Ouro é classificado no capítulo 71
